URL,Company Name,Sector,LTP,P/E Ratio,Market Cap,Enterprise Value,No. of Shares,P/B Ratio,Face Value,Div. Yield,Book Value (TTM),CASH,DEBT,Promoter Holding,EPS (TTM),Sales Growth
https://ticker.finology.in/company/KCPSUGIND,K.C.P. Sugar And Industries Corporation Ltd.,Sugar,43.86,N/A,44.6,43.79,62,1.15,1,"0.46
                                %",38.08,40.53 Cr.,152.17 Cr.,40.59 %,6.29,31.82
https://ticker.finology.in/company/JAYAGROGN,Jayant Agro-Organics Ltd.,Chemicals,277.85,N/A,282,276,355,1.83,5,"2.7
                                %",151.86,6.9 Cr.,35.92 Cr.,67.12 %,17.8,-11.91
https://ticker.finology.in/company/MGL,Mahanagar Gas Ltd.,Gas Transmission/Marketing,1238.15,N/A,1243.3,1227.6,1988.55,2.21,10,"2.42
                                %",560.23,398.47 Cr.,0 Cr.,32.5 %,116.37,-0.87
https://ticker.finology.in/company/VRAJ,Vraj Iron & Steel Ltd.,Steel & Iron Products,223.25,N/A,226.35,221.4,296.15,2.01,10,"0
                                %",111.2,40.15 Cr.,61.7 Cr.,74.95 %,16.41,-18.58
https://ticker.finology.in/company/SRD,Shankar Lal Rampal Dye-Chem Ltd.,Trading,89.42,N/A,89.42,89.42,140.3,5.49,10,"0.06
                                %",16.3,3.57 Cr.,6.2 Cr.,73.84 %,1.59,-11.04
https://ticker.finology.in/company/ZENTEC,Zen Technologies Ltd.,IT - Software,2405.45,N/A,2476.55,2351,2627.95,13.88,1,"0.04
                                %",173.29,142.2 Cr.,0 Cr.,51.26 %,22.61,166.53
https://ticker.finology.in/company/YAARI,Yaari Digital Integrated Services Ltd.,e-Commerce,16.85,N/A,16.85,16.85,20.3,0,2,"0
                                %",-6.13,0.1 Cr.,508.35 Cr.,27.46 %,-4.41,-100
https://ticker.finology.in/company/SKIPPER,Skipper Ltd.,Engineering - Industrial Equipments,550.00,N/A,557.65,541,665,6.5,1,"0.02
                                %",84.6,134.89 Cr.,577.26 Cr.,66.48 %,9.49,65.73
https://ticker.finology.in/company/SGL,STL Global Ltd.,Textile,18.15,N/A,18.48,17.67,27.27,1.86,10,"0
                                %",9.75,0.25 Cr.,19.32 Cr.,65.76 %,-0.45,-13.76
https://ticker.finology.in/company/HIL,HIL Ltd.,Cement & Construction Materials,2493.30,N/A,2526,2480,3213,1.47,10,"1.5
                                %",1695.42,69.38 Cr.,313.1 Cr.,40.57 %,150.5,3.51
