URL,Company Name,Sector,LTP,P/E Ratio,Market Cap (Cr),Enterprise Value (Cr),No. of Shares (Cr),P/B Ratio,Face Value,Div. Yield,Book Value (TTM),CASH,DEBT,Promoter Holding,EPS (TTM),Sales Growth (%)
https://ticker.finology.in/company/PALREDTEC,Palred Technologies Ltd.,IT - Software,90.00,N/A,92.05,90,229.3,1.63,10,"0
                                %",55.12,51.74 Cr.,0 Cr.,30.06 %,1.36,0
https://ticker.finology.in/company/MRO-TEK,MRO-TEK Realty Ltd.,IT - Hardware,84.00,N/A,89.19,84,126.8,2.17,5,"0
                                %",38.77,35.03 Cr.,116.84 Cr.,60.03 %,5.62,5.36
https://ticker.finology.in/company/SIL,Standard Industries Ltd.,Trading,26.96,N/A,27.79,26.7,38.95,0.97,5,"3.89
                                %",27.93,6 Cr.,20.77 Cr.,20.31 %,0.48,19.72
https://ticker.finology.in/company/NELCO,Nelco Ltd.,IT - Hardware,938.10,N/A,946,888.05,1335.8,18.14,10,"0.23
                                %",51.7,20.09 Cr.,0 Cr.,50.09 %,6.63,13.01
https://ticker.finology.in/company/STEELXIND,Steel Exchange India Ltd.,Steel/Sponge Iron/Pig Iron,10.19,N/A,10.47,10.12,18.42,2.71,1,"0
                                %",3.76,20.08 Cr.,382.5 Cr.,52.9 %,0.21,-21.06
https://ticker.finology.in/company/PRECAM,Precision Camshafts Ltd.,Auto Ancillary,298.10,N/A,300.35,291.65,341.5,3.09,10,"0.34
                                %",96.52,54.65 Cr.,59.15 Cr.,65.37 %,7.93,7.71
https://ticker.finology.in/company/INDIAGLYCO,India Glycols Ltd.,Chemicals,1112.80,N/A,1154.95,1108.95,1545,1.94,10,"0.72
                                %",574.2,137.62 Cr.,1321.1 Cr.,61.01 %,52.23,24.19
https://ticker.finology.in/company/THERMAX,Thermax Ltd.,Engineering - Industrial Equipments,4354.00,N/A,4590,4319,5835,14.47,2,"0.27
                                %",300.84,346.76 Cr.,307.8 Cr.,61.98 %,43.9,13.24
https://ticker.finology.in/company/GODREJIND,Godrej Industries Ltd.,Chemicals,1003.40,N/A,1020.25,996.15,1272.95,19.03,1,"0
                                %",52.73,41.26 Cr.,8527.45 Cr.,67.69 %,2.65,-32.76
https://ticker.finology.in/company/GOKUL,Gokul Refoils and Solvent Ltd.,Edible Oil,54.16,N/A,55.91,53.5,71,2.57,2,"0
                                %",21.04,0.13 Cr.,0 Cr.,74.62 %,0.07,1026.65
https://ticker.finology.in/company/CMSINFO,CMS Info Systems Ltd.,BPO/ITeS,485.95,N/A,487.2,461.6,615.9,3.93,10,"1.18
                                %",123.51,238.86 Cr.,0 Cr.,0 %,22.73,20.13
https://ticker.finology.in/company/MAHEPC,Mahindra EPC Irrigation Ltd.,Engineering - Industrial Equipments,111.25,N/A,112.8,110.05,178.25,1.94,10,"0
                                %",57.25,2.28 Cr.,15.42 Cr.,54.21 %,-0.8,24.76
https://ticker.finology.in/company/COMSYN,Commercial Syn Bags Ltd.,Plastic Products,73.27,N/A,73.27,69.54,112,2.27,10,"0
                                %",32.27,4.5 Cr.,95.72 Cr.,58.79 %,1.42,-2.03
https://ticker.finology.in/company/KPIL,Kalpataru Projects International Ltd.,Engineering - Construction,1148.80,N/A,1195,1138.9,1438.8,3.2,2,"0.7
                                %",359.19,848.79 Cr.,3263.49 Cr.,35.24 %,33.45,16.9
https://ticker.finology.in/company/DOLATALGO,Dolat Algotech Ltd.,Finance - Stock Broking,125.15,N/A,129.7,124.25,186.5,2.37,1,"0.2
                                %",52.87,217.36 Cr.,157.33 Cr.,74.49 %,14.08,41.33
https://ticker.finology.in/company/SALSTEEL,SAL Steel Ltd.,Steel/Sponge Iron/Pig Iron,24.35,N/A,25.4,24,31.17,4.9,10,"0
                                %",4.97,0.94 Cr.,125 Cr.,50.56 %,0.05,16.32
https://ticker.finology.in/company/GOKULAGRO,Gokul Agro Resources Ltd.,Edible Oil,298.70,N/A,316.35,291.75,342.1,5.76,2,"0
                                %",51.84,292.91 Cr.,427.87 Cr.,73.67 %,11.37,28.16
https://ticker.finology.in/company/BAIDFIN,Baid Finserv Ltd.,Finance - NBFC,15.01,N/A,15.35,14.91,32.85,1.06,2,"0.66
                                %",14.15,65.92 Cr.,12.92 Cr.,35.41 %,0.86,20.17
https://ticker.finology.in/company/GLOBAL,Global Education Ltd.,Educational Institutions,177.39,N/A,181.5,173,382.7,3.54,5,"2.82
                                %",50.1,8.3 Cr.,0 Cr.,70.94 %,14.45,15.56
https://ticker.finology.in/company/GNA,GNA Axles Ltd.,Auto Ancillary,392.50,N/A,396,391,519,1.98,10,"0.51
                                %",197.87,32.59 Cr.,213.47 Cr.,67.81 %,22.25,-4.84
https://ticker.finology.in/company/UCAL,UCAL Ltd.,Auto Ancillary,167.70,N/A,170.1,165.95,229.9,1.03,10,"0
                                %",162.84,5.13 Cr.,159.16 Cr.,70.28 %,2.17,-17.42
https://ticker.finology.in/company/ORICONENT,Oricon Enterprises Ltd.,Packaging,27.68,N/A,29.74,27.02,49.34,0.55,2,"1.81
                                %",50.33,7.55 Cr.,198.38 Cr.,66.97 %,-0.71,-12.17
https://ticker.finology.in/company/URJA,Urja Global Ltd.,Power Generation/Distribution,17.05,N/A,17.86,17,41.84,6.41,1,"0
                                %",2.66,1.21 Cr.,0 Cr.,19.43 %,0.04,10.58
https://ticker.finology.in/company/CRAFTSMAN,Craftsman Automation Ltd.,Auto Ancillary,4954.95,N/A,5006.75,4800,7107.15,4.27,5,"0.23
                                %",1160.09,43.62 Cr.,1403.03 Cr.,48.7 %,59.4,7.64
https://ticker.finology.in/company/ZUARIIND,Zuari Industries Ltd.,Trading,311.65,N/A,326.55,310.05,423,0.25,10,"0.32
                                %",1227.8,7.66 Cr.,1057.6 Cr.,56.71 %,-18.18,-12.26
https://ticker.finology.in/company/MIRZAINT,Mirza International Ltd.,Footwear,37.96,N/A,38.68,37.39,63.52,1.13,2,"0
                                %",33.67,3.3 Cr.,19.81 Cr.,71.27 %,0.74,-3.88
https://ticker.finology.in/company/THANGAMAYL,Thangamayil Jewellery Ltd.,Diamond  &  Jewellery,1980.30,N/A,1982,1928.55,2639.9,10.53,10,"0.5
                                %",188.07,81.79 Cr.,467.54 Cr.,61.27 %,34.75,21.39
https://ticker.finology.in/company/JAICORPLTD,Jai Corp Ltd.,Plastic Products,290.70,N/A,297.7,288.15,438,4,1,"0.17
                                %",72.59,7.7 Cr.,0 Cr.,73.79 %,4.13,-22.44
https://ticker.finology.in/company/PAYTM,One97 Communications Ltd.,Fintech,845.40,N/A,854.25,809,926.7,4.2,1,"0
                                %",201.14,4147.8 Cr.,0 Cr.,0 %,-9.63,27.09
https://ticker.finology.in/company/RSWM,RSWM Ltd.,Textile,167.50,N/A,174,167.5,270.2,0.61,10,"0
                                %",275.79,7.84 Cr.,1777.27 Cr.,55.69 %,6.93,7.08
https://ticker.finology.in/company/FIEMIND,Fiem Industries Ltd.,Auto Ancillary,1455.70,N/A,1488.6,1449.7,1782.1,4.12,10,"1.37
                                %",353.53,203.9 Cr.,0 Cr.,58.96 %,70.87,9.73
https://ticker.finology.in/company/GOYALALUM,Goyal Aluminiums Ltd.,Trading,9.68,N/A,10.23,9.53,12.29,6.64,1,"0
                                %",1.46,0.07 Cr.,1.56 Cr.,69.97 %,0.15,3.75
https://ticker.finology.in/company/TAJGVK,Taj GVK Hotels & Resorts Ltd.,"Hotel, Resort & Restaurants",338.10,N/A,341.25,314,422.2,3.75,2,"0.44
                                %",90.16,73.21 Cr.,64.16 Cr.,74.99 %,13.14,6.36
https://ticker.finology.in/company/NBIFIN,N.B.I. Industrial Finance Co. Ltd.,Finance - NBFC,2615.00,N/A,2684.25,2560,2779,0.27,5,"0.02
                                %",9530.08,12.95 Cr.,7.87 Cr.,74.69 %,29.33,27.58
https://ticker.finology.in/company/MINDACORP,Minda Corporation Ltd.,Auto Ancillary,480.35,N/A,488.6,476.75,652.9,6.27,2,"0.29
                                %",76.6,115.9 Cr.,363.2 Cr.,64.84 %,9.21,10.08
https://ticker.finology.in/company/SPAL,S.P. Apparels Ltd.,Textile,849.00,N/A,849,822.65,1133,2.62,10,"0
                                %",324.55,60.13 Cr.,102.42 Cr.,61.93 %,35.82,0.62
https://ticker.finology.in/company/PFS,PTC India Financial Services Ltd.,Finance - NBFC,39.52,N/A,40.46,39.08,67.9,0.97,10,"0
                                %",40.95,760.78 Cr.,160.75 Cr.,64.99 %,2.43,-3.81
